"implementation","source_commit","case_id","asset","format","operation","tier","complexity_class","sample_class","configured_samples","extension_coverage","extensions_used","sample","order_seed","branch_order_position","elapsed_us","input_bytes","output_bytes","output_file_count","output_set_sha256","semantic_status","process_peak_working_set_bytes"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","Avocado-gltf","Avocado","gltf","roundtrip","medium/texture-heavy","medium","standard","100","core-only","","2","1002","1","29468","8110895","8109904","5","577BE81BE38882B7629C0391DDA4BFB51ACEB236413AB39AE26F9467ED82C14A","ok","453390336"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","ABeautifulGame-glb","ABeautifulGame","glb","load","large/material-texture","large","large","30","typed-only","KHR_materials_transmission;KHR_materials_volume","2","1002","1","93834.1","42977928","0","0","","ok","453390336"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","MaterialsVariantsShoe-glb","MaterialsVariantsShoe","glb","roundtrip","medium/material-texture","medium","standard","100","raw-only","KHR_materials_variants","2","1002","1","74310.2","7833592","7832868","1","623AEF35C7E81C18DC59867D5851F231F622129E7F5D9835A7301D4536D405C6","ok","453390336"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","ABeautifulGame-draco-glb","ABeautifulGame","glb","roundtrip","large/compressed-material","large","large","30","mixed-typed-raw","KHR_draco_mesh_compression;KHR_materials_transmission;KHR_materials_volume;KHR_texture_basisu","2","1002","1","106922.1","12105252","12105120","1","C57EB54F273D8E87273E837A67C89985C4AEFA6E6F74C3F9195BDFF489DBCDEA","ok","453390336"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","XmpMetadataRoundedCube-glb","XmpMetadataRoundedCube","glb","load","small/metadata","small","standard","100","raw-only","KHR_xmp_json_ld","2","1002","1","5120.9","105936","0","0","","ok","453390336"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","SimpleInstancing-glb","SimpleInstancing","glb","roundtrip","small/scene-instancing","small","standard","100","typed-only","EXT_mesh_gpu_instancing","2","1002","1","5512","7356","7288","1","C0FBAFA443EAB474B2979F727901BDEB551A061458695683607C4C252695EC5B","ok","453390336"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","NodePerformanceTest-glb","NodePerformanceTest","glb","load","large/scene-structure","large","large","30","raw-only","KHR_lights_punctual","2","1002","1","1951260.2","37986536","0","0","","ok","453390336"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","TextureTransformMultiTest-glb","TextureTransformMultiTest","glb","export","medium/material-grid","medium","standard","100","typed-only","KHR_materials_clearcoat;KHR_materials_unlit;KHR_texture_transform","2","1002","1","4487.9","388264","387988","1","46A349FD2C818CDE428794C1FBB1B94057F44AB92EB11F758B4F11DCEB72EB1B","ok","453390336"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","XmpMetadataRoundedCube-glb","XmpMetadataRoundedCube","glb","export","small/metadata","small","standard","100","raw-only","KHR_xmp_json_ld","2","1002","1","1333.7","105936","105908","1","A1E73A37B2ECF1DAB7BB03187B554F74A31ECA9EE10A9B75908743150B5C7086","ok","453390336"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","SpecularTest-glb","SpecularTest","glb","roundtrip","small/material-grid","small","standard","100","typed-only","KHR_materials_specular","2","1002","1","9637.2","223376","224024","1","FD18D6C208FA96D1E8CEC2150441A59024D7EAE161F613C9D37CC67E9E0C9E52","ok","453390336"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","ABeautifulGame-glb","ABeautifulGame","glb","export","large/material-texture","large","large","30","typed-only","KHR_materials_transmission;KHR_materials_volume","2","1002","1","254431.7","42977928","42978040","1","9D52BF987F9D39C20996085AAAFE88B09415B43DB49BD249925E555409CBFD5F","ok","453390336"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","TextureTransformMultiTest-glb","TextureTransformMultiTest","glb","load","medium/material-grid","medium","standard","100","typed-only","KHR_materials_clearcoat;KHR_materials_unlit;KHR_texture_transform","2","1002","1","8743.1","388264","0","0","","ok","453390336"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","TextureTransformMultiTest-glb","TextureTransformMultiTest","glb","roundtrip","medium/material-grid","medium","standard","100","typed-only","KHR_materials_clearcoat;KHR_materials_unlit;KHR_texture_transform","2","1002","1","12969.8","388264","387988","1","46A349FD2C818CDE428794C1FBB1B94057F44AB92EB11F758B4F11DCEB72EB1B","ok","453390336"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","SheenTestGrid-glb","SheenTestGrid","glb","export","medium/material-grid","medium","standard","100","typed-only","KHR_materials_sheen","3","1003","2","13740.6","1841064","1840956","1","58DF7C6B0B90247A98150CEC79886F355A1FA57CD474C016F6488639F3DA4143","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","Box-glb","Box","glb","export","small/core","small","standard","100","core-only","","3","1003","2","633","1664","1632","1","92E24B450EDF96029BFD157879B2E8D534DF9399E42C1E65980324EF585CF4C1","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","Avocado-glb","Avocado","glb","roundtrip","medium/texture-heavy","medium","standard","100","core-only","","3","1003","2","71466.9","8110040","8110104","1","C813BA5B22D1EAAA78AECE97500EB82FD483EF1AFC4C3B5494F0C45F40C6B307","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","EmissiveStrengthTest-glb","EmissiveStrengthTest","glb","load","small/material-grid","small","standard","100","raw-only","KHR_materials_emissive_strength","3","1003","2","8123.3","10668","0","0","","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","MaterialsVariantsShoe-glb","MaterialsVariantsShoe","glb","export","medium/material-texture","medium","standard","100","raw-only","KHR_materials_variants","3","1003","2","59895.8","7833592","7832868","1","623AEF35C7E81C18DC59867D5851F231F622129E7F5D9835A7301D4536D405C6","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","ABeautifulGame-glb","ABeautifulGame","glb","export","large/material-texture","large","large","30","typed-only","KHR_materials_transmission;KHR_materials_volume","3","1003","2","262623","42977928","42978040","1","9D52BF987F9D39C20996085AAAFE88B09415B43DB49BD249925E555409CBFD5F","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","Avocado-glb","Avocado","glb","export","medium/texture-heavy","medium","standard","100","core-only","","3","1003","2","47996.7","8110040","8110104","1","C813BA5B22D1EAAA78AECE97500EB82FD483EF1AFC4C3B5494F0C45F40C6B307","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","ABeautifulGame-draco-glb","ABeautifulGame","glb","export","large/compressed-material","large","large","30","mixed-typed-raw","KHR_draco_mesh_compression;KHR_materials_transmission;KHR_materials_volume;KHR_texture_basisu","3","1003","2","71890.7","12105252","12105120","1","C57EB54F273D8E87273E837A67C89985C4AEFA6E6F74C3F9195BDFF489DBCDEA","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","TextureTransformMultiTest-glb","TextureTransformMultiTest","glb","export","medium/material-grid","medium","standard","100","typed-only","KHR_materials_clearcoat;KHR_materials_unlit;KHR_texture_transform","3","1003","2","4338.8","388264","387988","1","46A349FD2C818CDE428794C1FBB1B94057F44AB92EB11F758B4F11DCEB72EB1B","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","ABeautifulGame-glb","ABeautifulGame","glb","load","large/material-texture","large","large","30","typed-only","KHR_materials_transmission;KHR_materials_volume","3","1003","2","77694.6","42977928","0","0","","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","NodePerformanceTest-glb","NodePerformanceTest","glb","export","large/scene-structure","large","large","30","raw-only","KHR_lights_punctual","3","1003","2","933891.9","37986536","38031532","1","8CAF6BF0A1AB198DAE4C04513A06079B0CA79B67B2DEB53E9B8A1CADF68B0C17","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","ABeautifulGame-glb","ABeautifulGame","glb","roundtrip","large/material-texture","large","large","30","typed-only","KHR_materials_transmission;KHR_materials_volume","3","1003","2","332107.9","42977928","42978040","1","9D52BF987F9D39C20996085AAAFE88B09415B43DB49BD249925E555409CBFD5F","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","IridescenceSuzanne-glb","IridescenceSuzanne","glb","roundtrip","medium/material-scene","medium","standard","100","mixed-typed-raw","KHR_lights_punctual;KHR_materials_ior;KHR_materials_iridescence;KHR_materials_transmission;KHR_materials_volume","3","1003","2","10812.1","507608","507344","1","36E4BFE050C5F21C8B7038DD8BC44192896D18A0655C3F566AFAEF3722A52850","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","XmpMetadataRoundedCube-glb","XmpMetadataRoundedCube","glb","roundtrip","small/metadata","small","standard","100","raw-only","KHR_xmp_json_ld","3","1003","2","6719.4","105936","105908","1","A1E73A37B2ECF1DAB7BB03187B554F74A31ECA9EE10A9B75908743150B5C7086","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","MorphStressTest-glb","MorphStressTest","glb","load","medium/geometry-animation","medium","standard","100","core-only","","3","1003","2","6854.6","575900","0","0","","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","Avocado-glb","Avocado","glb","load","medium/texture-heavy","medium","standard","100","core-only","","3","1003","2","22732.6","8110040","0","0","","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","IridescenceSuzanne-glb","IridescenceSuzanne","glb","export","medium/material-scene","medium","standard","100","mixed-typed-raw","KHR_lights_punctual;KHR_materials_ior;KHR_materials_iridescence;KHR_materials_transmission;KHR_materials_volume","3","1003","2","4094.3","507608","507344","1","36E4BFE050C5F21C8B7038DD8BC44192896D18A0655C3F566AFAEF3722A52850","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","XmpMetadataRoundedCube-glb","XmpMetadataRoundedCube","glb","load","small/metadata","small","standard","100","raw-only","KHR_xmp_json_ld","3","1003","2","5175.5","105936","0","0","","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","ABeautifulGame-draco-glb","ABeautifulGame","glb","roundtrip","large/compressed-material","large","large","30","mixed-typed-raw","KHR_draco_mesh_compression;KHR_materials_transmission;KHR_materials_volume;KHR_texture_basisu","3","1003","2","109119.5","12105252","12105120","1","C57EB54F273D8E87273E837A67C89985C4AEFA6E6F74C3F9195BDFF489DBCDEA","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","XmpMetadataRoundedCube-glb","XmpMetadataRoundedCube","glb","export","small/metadata","small","standard","100","raw-only","KHR_xmp_json_ld","3","1003","2","1368.2","105936","105908","1","A1E73A37B2ECF1DAB7BB03187B554F74A31ECA9EE10A9B75908743150B5C7086","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","Avocado-gltf","Avocado","gltf","export","medium/texture-heavy","medium","standard","100","core-only","","3","1003","2","5581.5","8110895","8109904","5","577BE81BE38882B7629C0391DDA4BFB51ACEB236413AB39AE26F9467ED82C14A","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","SpecularTest-glb","SpecularTest","glb","roundtrip","small/material-grid","small","standard","100","typed-only","KHR_materials_specular","3","1003","2","12265.6","223376","224024","1","FD18D6C208FA96D1E8CEC2150441A59024D7EAE161F613C9D37CC67E9E0C9E52","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","SheenTestGrid-glb","SheenTestGrid","glb","load","medium/material-grid","medium","standard","100","typed-only","KHR_materials_sheen","3","1003","2","18788.1","1841064","0","0","","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","SpecularTest-glb","SpecularTest","glb","export","small/material-grid","small","standard","100","typed-only","KHR_materials_specular","3","1003","2","4482","223376","224024","1","FD18D6C208FA96D1E8CEC2150441A59024D7EAE161F613C9D37CC67E9E0C9E52","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","Box-glb","Box","glb","load","small/core","small","standard","100","core-only","","3","1003","2","6378.4","1664","0","0","","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","Avocado-gltf","Avocado","gltf","roundtrip","medium/texture-heavy","medium","standard","100","core-only","","3","1003","2","28236.9","8110895","8109904","5","577BE81BE38882B7629C0391DDA4BFB51ACEB236413AB39AE26F9467ED82C14A","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","NodePerformanceTest-glb","NodePerformanceTest","glb","load","large/scene-structure","large","large","30","raw-only","KHR_lights_punctual","3","1003","2","2004639.4","37986536","0","0","","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","MaterialsVariantsShoe-glb","MaterialsVariantsShoe","glb","load","medium/material-texture","medium","standard","100","raw-only","KHR_materials_variants","3","1003","2","23471","7833592","0","0","","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","TextureTransformMultiTest-glb","TextureTransformMultiTest","glb","load","medium/material-grid","medium","standard","100","typed-only","KHR_materials_clearcoat;KHR_materials_unlit;KHR_texture_transform","3","1003","2","9902.4","388264","0","0","","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","SimpleInstancing-glb","SimpleInstancing","glb","load","small/scene-instancing","small","standard","100","typed-only","EXT_mesh_gpu_instancing","3","1003","2","5713.5","7356","0","0","","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","Box-gltf","Box","gltf","load","small/core","small","standard","100","core-only","","3","1003","2","5953.1","3546","0","0","","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","SheenTestGrid-glb","SheenTestGrid","glb","roundtrip","medium/material-grid","medium","standard","100","typed-only","KHR_materials_sheen","3","1003","2","22921","1841064","1840956","1","58DF7C6B0B90247A98150CEC79886F355A1FA57CD474C016F6488639F3DA4143","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","MaterialsVariantsShoe-glb","MaterialsVariantsShoe","glb","roundtrip","medium/material-texture","medium","standard","100","raw-only","KHR_materials_variants","3","1003","2","70314.8","7833592","7832868","1","623AEF35C7E81C18DC59867D5851F231F622129E7F5D9835A7301D4536D405C6","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","MorphStressTest-glb","MorphStressTest","glb","export","medium/geometry-animation","medium","standard","100","core-only","","3","1003","2","4677.8","575900","576088","1","CDA1351EF0C8C769370AC8A8864AA69ED8954A545B4C2DEC8E93582523D8B9AE","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","IridescenceSuzanne-glb","IridescenceSuzanne","glb","load","medium/material-scene","medium","standard","100","mixed-typed-raw","KHR_lights_punctual;KHR_materials_ior;KHR_materials_iridescence;KHR_materials_transmission;KHR_materials_volume","3","1003","2","5998.2","507608","0","0","","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","SimpleInstancing-glb","SimpleInstancing","glb","roundtrip","small/scene-instancing","small","standard","100","typed-only","EXT_mesh_gpu_instancing","3","1003","2","5703.3","7356","7288","1","C0FBAFA443EAB474B2979F727901BDEB551A061458695683607C4C252695EC5B","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","EmissiveStrengthTest-glb","EmissiveStrengthTest","glb","export","small/material-grid","small","standard","100","raw-only","KHR_materials_emissive_strength","3","1003","2","896.7","10668","10908","1","B832BEC9D3292D156C31D976432E8001C96700F931B91890F51D0901D6E072B6","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","MorphStressTest-glb","MorphStressTest","glb","roundtrip","medium/geometry-animation","medium","standard","100","core-only","","3","1003","2","11698.3","575900","576088","1","CDA1351EF0C8C769370AC8A8864AA69ED8954A545B4C2DEC8E93582523D8B9AE","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","ABeautifulGame-draco-glb","ABeautifulGame","glb","load","large/compressed-material","large","large","30","mixed-typed-raw","KHR_draco_mesh_compression;KHR_materials_transmission;KHR_materials_volume;KHR_texture_basisu","3","1003","2","35880.4","12105252","0","0","","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","SimpleInstancing-glb","SimpleInstancing","glb","export","small/scene-instancing","small","standard","100","typed-only","EXT_mesh_gpu_instancing","3","1003","2","685.5","7356","7288","1","C0FBAFA443EAB474B2979F727901BDEB551A061458695683607C4C252695EC5B","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","NodePerformanceTest-glb","NodePerformanceTest","glb","roundtrip","large/scene-structure","large","large","30","raw-only","KHR_lights_punctual","3","1003","2","2845820","37986536","38031532","1","8CAF6BF0A1AB198DAE4C04513A06079B0CA79B67B2DEB53E9B8A1CADF68B0C17","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","SpecularTest-glb","SpecularTest","glb","load","small/material-grid","small","standard","100","typed-only","KHR_materials_specular","3","1003","2","7726.4","223376","0","0","","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","Box-glb","Box","glb","roundtrip","small/core","small","standard","100","core-only","","3","1003","2","5465.2","1664","1632","1","92E24B450EDF96029BFD157879B2E8D534DF9399E42C1E65980324EF585CF4C1","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","Box-gltf","Box","gltf","roundtrip","small/core","small","standard","100","core-only","","3","1003","2","5866","3546","1618","2","3C980C11AF22743E70D6A34755F3856A488C494AF170A9B64090B03052649936","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","Avocado-gltf","Avocado","gltf","load","medium/texture-heavy","medium","standard","100","core-only","","3","1003","2","18532.6","8110895","0","0","","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","EmissiveStrengthTest-glb","EmissiveStrengthTest","glb","roundtrip","small/material-grid","small","standard","100","raw-only","KHR_materials_emissive_strength","3","1003","2","6938.4","10668","10908","1","B832BEC9D3292D156C31D976432E8001C96700F931B91890F51D0901D6E072B6","ok","452423680"
"nlohmann-2.0.0","dc9c9f78dc33b9df5201e28dea2eeddcb5aa7b2e","Box-gltf","Box","gltf","export","small/core","small","standard","100","core-only","","3","1003","2","842.4","3546","1618","2","3C980C11AF22743E70D6A34755F3856A488C494AF170A9B64090B03052649936","ok","452423680"
